assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_001656045.1	PRJNA224116	SAMN04939716			na		1280	1280	Staphylococcus aureus	strain=08-02119		latest	Complete Genome	Major	Full	2016/06/03	ASM165604v1	Robert Koch Institut	GCA_001656045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/656/045/GCF_001656045.1_ASM165604v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001656045.1/GCF_001656045.1_ASM165604v1_genomic.gbff.gz
GCF_001656075.1	PRJNA224116	SAMN04939717			na		1280	1280	Staphylococcus aureus	strain=08-02300		latest	Complete Genome	Major	Full	2016/06/03	ASM165607v1	Robert Koch Institut	GCA_001656075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/656/075/GCF_001656075.1_ASM165607v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001656075.1/GCF_001656075.1_ASM165607v1_genomic.gbff.gz
GCF_001717645.1	PRJNA224116	SAMN04966150			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=5118.N		latest	Complete Genome	Major	Full	2018/02/20	ASM171764v3	Uniformed Services University	GCA_001717645.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/645/GCF_001717645.1_ASM171764v3	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001717645.1/GCF_001717645.1_ASM171764v3_genomic.gbff.gz
GCF_001717665.1	PRJNA224116	SAMN04966148			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=2148.N		latest	Complete Genome	Major	Full	2018/01/08	ASM171766v2	Uniformed Services University	GCA_001717665.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/665/GCF_001717665.1_ASM171766v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001717665.1/GCF_001717665.1_ASM171766v2_genomic.gbff.gz
GCF_001717685.1	PRJNA224116	SAMN04966145			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=1971.C01		latest	Complete Genome	Major	Full	2018/02/20	ASM171768v3	Uniformed Services University	GCA_001717685.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/685/GCF_001717685.1_ASM171768v3	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001717685.1/GCF_001717685.1_ASM171768v3_genomic.gbff.gz
GCF_001717705.1	PRJNA224116	SAMN04966149			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=1969.N		latest	Complete Genome	Major	Full	2018/01/08	ASM171770v2	Uniformed Services University	GCA_001717705.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/705/GCF_001717705.1_ASM171770v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001717705.1/GCF_001717705.1_ASM171770v2_genomic.gbff.gz
GCF_001717725.1	PRJNA224116	SAMN04964640			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=1625.C01		latest	Complete Genome	Major	Full	2017/12/29	ASM171772v2	Uniformed Services University	GCA_001717725.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/725/GCF_001717725.1_ASM171772v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001717725.1/GCF_001717725.1_ASM171772v2_genomic.gbff.gz
GCF_001717975.2	PRJNA224116	SAMN04966147			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=2148.C01		latest	Complete Genome	Major	Full	2018/01/08	ASM171797v3	Uniformed Services University	GCA_001717975.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/975/GCF_001717975.2_ASM171797v3	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001717975.2/GCF_001717975.2_ASM171797v3_genomic.gbff.gz
GCF_001725965.1	PRJNA224116	SAMN04046233			na		1280	1280	Staphylococcus aureus	strain=FORC_027		latest	Complete Genome	Major	Full	2016/09/14	ASM172596v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001725965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/725/965/GCF_001725965.1_ASM172596v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001725965.1/GCF_001725965.1_ASM172596v1_genomic.gbff.gz
GCF_001735655.2	PRJNA224116	SAMN04966146			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=3020.C01		latest	Complete Genome	Major	Full	2018/01/04	ASM173565v2	Uniformed Services University	GCA_001735655.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/655/GCF_001735655.2_ASM173565v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001735655.2/GCF_001735655.2_ASM173565v2_genomic.gbff.gz
GCF_001879545.1	PRJNA224116	SAMN04243988			na		1280	1280	Staphylococcus aureus	strain=FORC_026		latest	Complete Genome	Major	Full	2016/11/16	ASM187954v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001879545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/879/545/GCF_001879545.1_ASM187954v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001879545.1/GCF_001879545.1_ASM187954v1_genomic.gbff.gz
GCF_001880265.1	PRJNA224116	SAMN04263915			na		1280	1280	Staphylococcus aureus	strain=SA40TW		latest	Complete Genome	Major	Full	2016/11/17	ASM188026v1	Zhejiang University School of Medicine	GCA_001880265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/880/265/GCF_001880265.1_ASM188026v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001880265.1/GCF_001880265.1_ASM188026v1_genomic.gbff.gz
GCF_001887075.1	PRJNA224116	SAMN04276964			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=LA-MRSA ST398	E154	latest	Complete Genome	Major	Full	2016/11/28	ASM188707v1	Faculte de Medecine Veterinaire - Universite de Montreal	GCA_001887075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/075/GCF_001887075.1_ASM188707v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001887075.1/GCF_001887075.1_ASM188707v1_genomic.gbff.gz
GCF_001900185.1	PRJNA224116	SAMN06062108			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=HG001	RN1	latest	Complete Genome	Major	Full	2016/12/12	ASM190018v1	CNRS	GCA_001900185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/185/GCF_001900185.1_ASM190018v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001900185.1/GCF_001900185.1_ASM190018v1_genomic.gbff.gz
GCF_001956755.1	PRJNA224116	SAMN06200256			na		1280	1280	Staphylococcus aureus	strain=SJTUF_J27		latest	Complete Genome	Major	Full	2017/01/18	ASM195675v1	Eastern Regional Research Center -ARS-USDA	GCA_001956755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/956/755/GCF_001956755.1_ASM195675v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001956755.1/GCF_001956755.1_ASM195675v1_genomic.gbff.gz
GCF_001956815.1	PRJNA224116	SAMN06238073			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=USA300_SUR1		latest	Complete Genome	Major	Full	2017/01/18	ASM195681v1	University of Groningen, University Medical Center Groningen	GCA_001956815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/956/815/GCF_001956815.1_ASM195681v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001956815.1/GCF_001956815.1_ASM195681v1_genomic.gbff.gz
GCF_001975005.1	PRJNA224116	SAMN06046111			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=UCI62		latest	Complete Genome	Major	Full	2017/01/30	ASM197500v1	Darrell Bayles	GCA_001975005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/005/GCF_001975005.1_ASM197500v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001975005.1/GCF_001975005.1_ASM197500v1_genomic.gbff.gz
GCF_001975045.1	PRJNA224116	SAMN06046106			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=UCI 28	ST5	latest	Complete Genome	Major	Full	2017/01/30	ASM197504v1	Darrell Bayles	GCA_001975045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/045/GCF_001975045.1_ASM197504v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001975045.1/GCF_001975045.1_ASM197504v1_genomic.gbff.gz
GCF_001986135.1	PRJNA224116	SAMN06277866			na		1280	1280	Staphylococcus aureus	strain=SR434		latest	Complete Genome	Major	Full	2017/02/06	ASM198613v1	Zhejiang University	GCA_001986135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/135/GCF_001986135.1_ASM198613v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001986135.1/GCF_001986135.1_ASM198613v1_genomic.gbff.gz
GCF_002000565.1	PRJNA224116	SAMN04497603			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR9		latest	Complete Genome	Major	Full	2017/02/16	ASM200056v1	University Medical Center Groningen	GCA_002000565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/565/GCF_002000565.1_ASM200056v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000565.1/GCF_002000565.1_ASM200056v1_genomic.gbff.gz
GCF_002000585.1	PRJNA224116	SAMN04497604			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR10		latest	Complete Genome	Major	Full	2017/02/16	ASM200058v1	University Medical Center Groningen	GCA_002000585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/585/GCF_002000585.1_ASM200058v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000585.1/GCF_002000585.1_ASM200058v1_genomic.gbff.gz
GCF_002000605.1	PRJNA224116	SAMN04497605			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR11		latest	Complete Genome	Major	Full	2017/02/16	ASM200060v1	University Medical Center Groningen	GCA_002000605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/605/GCF_002000605.1_ASM200060v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000605.1/GCF_002000605.1_ASM200060v1_genomic.gbff.gz
GCF_002000625.1	PRJNA224116	SAMN04497606			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR12		latest	Complete Genome	Major	Full	2017/02/16	ASM200062v1	University Medical Center Groningen	GCA_002000625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/625/GCF_002000625.1_ASM200062v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000625.1/GCF_002000625.1_ASM200062v1_genomic.gbff.gz
GCF_002000645.1	PRJNA224116	SAMN04497607			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR13		latest	Complete Genome	Major	Full	2017/02/16	ASM200064v1	University Medical Center Groningen	GCA_002000645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/645/GCF_002000645.1_ASM200064v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000645.1/GCF_002000645.1_ASM200064v1_genomic.gbff.gz
GCF_002000665.1	PRJNA224116	SAMN04497608			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR14		latest	Complete Genome	Major	Full	2017/02/16	ASM200066v1	University Medical Center Groningen	GCA_002000665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/665/GCF_002000665.1_ASM200066v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000665.1/GCF_002000665.1_ASM200066v1_genomic.gbff.gz
GCF_002000685.1	PRJNA224116	SAMN04497609			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR15		latest	Complete Genome	Major	Full	2017/02/16	ASM200068v1	University Medical Center Groningen	GCA_002000685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/685/GCF_002000685.1_ASM200068v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000685.1/GCF_002000685.1_ASM200068v1_genomic.gbff.gz
GCF_002000705.1	PRJNA224116	SAMN04497610			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR16		latest	Complete Genome	Major	Full	2017/02/16	ASM200070v1	University Medical Center Groningen	GCA_002000705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/705/GCF_002000705.1_ASM200070v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000705.1/GCF_002000705.1_ASM200070v1_genomic.gbff.gz
GCF_002000725.1	PRJNA224116	SAMN04497611			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR17		latest	Complete Genome	Major	Full	2017/02/16	ASM200072v1	University Medical Center Groningen	GCA_002000725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/725/GCF_002000725.1_ASM200072v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000725.1/GCF_002000725.1_ASM200072v1_genomic.gbff.gz
GCF_002000745.1	PRJNA224116	SAMN04497612			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR18		latest	Complete Genome	Major	Full	2017/02/16	ASM200074v1	University Medical Center Groningen	GCA_002000745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/745/GCF_002000745.1_ASM200074v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000745.1/GCF_002000745.1_ASM200074v1_genomic.gbff.gz
GCF_002000765.1	PRJNA224116	SAMN04497613			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR19		latest	Complete Genome	Major	Full	2017/02/16	ASM200076v1	University Medical Center Groningen	GCA_002000765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/765/GCF_002000765.1_ASM200076v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000765.1/GCF_002000765.1_ASM200076v1_genomic.gbff.gz
GCF_002000785.1	PRJNA224116	SAMN04497614			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR20		latest	Complete Genome	Major	Full	2017/02/16	ASM200078v1	University Medical Center Groningen	GCA_002000785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/785/GCF_002000785.1_ASM200078v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000785.1/GCF_002000785.1_ASM200078v1_genomic.gbff.gz
GCF_002000805.1	PRJNA224116	SAMN04497615			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR21		latest	Complete Genome	Major	Full	2017/02/16	ASM200080v1	University Medical Center Groningen	GCA_002000805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/805/GCF_002000805.1_ASM200080v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000805.1/GCF_002000805.1_ASM200080v1_genomic.gbff.gz
GCF_002000825.1	PRJNA224116	SAMN04497616			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR22		latest	Complete Genome	Major	Full	2017/02/16	ASM200082v1	University Medical Center Groningen	GCA_002000825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/825/GCF_002000825.1_ASM200082v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000825.1/GCF_002000825.1_ASM200082v1_genomic.gbff.gz
GCF_002000845.1	PRJNA224116	SAMN04497617			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR23		latest	Complete Genome	Major	Full	2017/02/16	ASM200084v1	University Medical Center Groningen	GCA_002000845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/845/GCF_002000845.1_ASM200084v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000845.1/GCF_002000845.1_ASM200084v1_genomic.gbff.gz
GCF_002000865.1	PRJNA224116	SAMN04497618			na		1280	1280	Staphylococcus aureus	strain=USA300-SUR24		latest	Complete Genome	Major	Full	2017/02/16	ASM200086v1	University Medical Center Groningen	GCA_002000865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/865/GCF_002000865.1_ASM200086v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002000865.1/GCF_002000865.1_ASM200086v1_genomic.gbff.gz
GCF_002025125.1	PRJNA224116	SAMN06480668			na		1280	1280	Staphylococcus aureus	strain=08S00974		latest	Complete Genome	Major	Full	2017/03/13	ASM202512v1	FU Berlin	GCA_002025125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/125/GCF_002025125.1_ASM202512v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002025125.1/GCF_002025125.1_ASM202512v1_genomic.gbff.gz
GCF_002025145.1	PRJNA224116	SAMN06480665			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=ATCC 6538		latest	Complete Genome	Major	Full	2017/03/13	ASM202514v1	FU Berlin	GCA_002025145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/145/GCF_002025145.1_ASM202514v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002025145.1/GCF_002025145.1_ASM202514v1_genomic.gbff.gz
GCF_002085525.1	PRJNA224116	SAMN06677988			na		1280	1280	Staphylococcus aureus	strain=JE2		latest	Complete Genome	Major	Full	2017/04/11	ASM208552v1	Walter Reed Army Institute of Research	GCA_002085525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/085/525/GCF_002085525.1_ASM208552v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002085525.1/GCF_002085525.1_ASM208552v1_genomic.gbff.gz
GCF_002088995.1	PRJNA224116	SAMN05860146			na		1280	1280	Staphylococcus aureus	strain=C2406		latest	Complete Genome	Major	Full	2017/04/13	ASM208899v1	University of Calgary	GCA_002088995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/088/995/GCF_002088995.1_ASM208899v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002088995.1/GCF_002088995.1_ASM208899v1_genomic.gbff.gz
GCF_002089035.2	PRJNA224116	SAMN06251153			na		1280	1280	Staphylococcus aureus	strain=293G		latest	Complete Genome	Major	Full	2018/07/02	ASM208903v2	University of Calgary	GCA_002089035.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/089/035/GCF_002089035.2_ASM208903v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002089035.2/GCF_002089035.2_ASM208903v2_genomic.gbff.gz
GCF_002089055.1	PRJNA224116	SAMN06274061			na		1280	1280	Staphylococcus aureus	strain=GD5		latest	Complete Genome	Major	Full	2017/04/13	ASM208905v1	University of Calgary	GCA_002089055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/089/055/GCF_002089055.1_ASM208905v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002089055.1/GCF_002089055.1_ASM208905v1_genomic.gbff.gz
GCF_002089075.2	PRJNA224116	SAMN06274062			na		1280	1280	Staphylococcus aureus	strain=GD705		latest	Complete Genome	Minor	Full	2018/07/09	ASM208907v2	University of Calgary	GCA_002089075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/089/075/GCF_002089075.2_ASM208907v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002089075.2/GCF_002089075.2_ASM208907v2_genomic.gbff.gz
GCF_002089095.2	PRJNA224116	SAMN06274241			na		1280	1280	Staphylococcus aureus	strain=GD1677		latest	Complete Genome	Major	Full	2018/07/02	ASM208909v2	University of Calgary	GCA_002089095.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/089/095/GCF_002089095.2_ASM208909v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002089095.2/GCF_002089095.2_ASM208909v2_genomic.gbff.gz
GCF_002089115.2	PRJNA224116	SAMN06274093			na		1280	1280	Staphylococcus aureus	strain=GD1539		latest	Complete Genome	Minor	Full	2018/07/09	ASM208911v2	University of Calgary	GCA_002089115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/089/115/GCF_002089115.2_ASM208911v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002089115.2/GCF_002089115.2_ASM208911v2_genomic.gbff.gz
GCF_002097595.2	PRJNA224116	SAMN04903357			na		1280	1280	Staphylococcus aureus	strain=M92		latest	Complete Genome	Major	Full	2018/06/04	ASM209759v2	University of Calgary	GCA_002097595.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/097/595/GCF_002097595.2_ASM209759v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002097595.2/GCF_002097595.2_ASM209759v2_genomic.gbff.gz
GCF_002140115.1	PRJNA224116	SAMN04995068			na		1280	1280	Staphylococcus aureus	strain=FORC_039		latest	Complete Genome	Major	Full	2017/05/16	ASM214011v1	Food-borne Pathogen Omics Research Center, FORC	GCA_002140115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/140/115/GCF_002140115.1_ASM214011v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002140115.1/GCF_002140115.1_ASM214011v1_genomic.gbff.gz
GCF_002202075.1	PRJNA224116	SAMN07212543			na		1280	1280	Staphylococcus aureus	strain=Seattle 1945	G477	latest	Complete Genome	Major	Full	2017/06/20	ASM220207v1	Alere Technologies Jena GmbH	GCA_002202075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/202/075/GCF_002202075.1_ASM220207v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002202075.1/GCF_002202075.1_ASM220207v1_genomic.gbff.gz
GCF_002202095.1	PRJNA224116	SAMN07212544			na		1280	1280	Staphylococcus aureus	strain=Seattle 1945	G478	latest	Complete Genome	Major	Full	2017/06/20	ASM220209v1	Alere Technologies Jena GmbH	GCA_002202095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/202/095/GCF_002202095.1_ASM220209v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002202095.1/GCF_002202095.1_ASM220209v1_genomic.gbff.gz
GCF_002204555.1	PRJNA224116	SAMN04571767			na		1280	1280	Staphylococcus aureus	strain=ISU935	ST5	latest	Complete Genome	Major	Full	2017/06/21	ASM220455v1	USDA-ARS	GCA_002204555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/555/GCF_002204555.1_ASM220455v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002204555.1/GCF_002204555.1_ASM220455v1_genomic.gbff.gz
GCF_002204575.1	PRJNA224116	SAMN04571756			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=ISU926	ST398	latest	Complete Genome	Major	Full	2017/06/21	ASM220457v1	USDA-ARS	GCA_002204575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/575/GCF_002204575.1_ASM220457v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002204575.1/GCF_002204575.1_ASM220457v1_genomic.gbff.gz
GCF_002209325.1	PRJNA224116	SAMN05520967			na		1280	1280	Staphylococcus aureus	strain=FORC_045		latest	Complete Genome	Major	Full	2017/06/27	ASM220932v1	Food-borne Pathogen Omics Research Center, FORC	GCA_002209325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/325/GCF_002209325.1_ASM220932v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002209325.1/GCF_002209325.1_ASM220932v1_genomic.gbff.gz
GCF_002214665.1	PRJNA224116	SAMN05292960			na		1280	1280	Staphylococcus aureus	strain=FORC_040		latest	Complete Genome	Major	Full	2017/07/05	ASM221466v1	Food-borne Pathogen Omics Research Center, FORC	GCA_002214665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/665/GCF_002214665.1_ASM221466v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002214665.1/GCF_002214665.1_ASM221466v1_genomic.gbff.gz
GCF_002310395.1	PRJNA224116	SAMN07629847			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=Newman_D2C		latest	Complete Genome	Major	Full	2017/09/18	ASM231039v1	NYU Langone Health	GCA_002310395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/310/395/GCF_002310395.1_ASM231039v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002310395.1/GCF_002310395.1_ASM231039v1_genomic.gbff.gz
GCF_002310435.1	PRJNA224116	SAMN07629846			na		426430	1280	Staphylococcus aureus subsp. aureus str. Newman	strain=NYU_Newman		latest	Complete Genome	Major	Full	2017/09/18	ASM231043v1	NYU Langone Health	GCA_002310435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/310/435/GCF_002310435.1_ASM231043v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002310435.1/GCF_002310435.1_ASM231043v1_genomic.gbff.gz
GCF_002355355.1	PRJNA224116	SAMD00043228			na		1280	1280	Staphylococcus aureus	strain=OC8		latest	Complete Genome	Major	Full	2016/10/18	ASM235535v1	International Medical Education and Research Center	GCA_002355355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/355/GCF_002355355.1_ASM235535v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002355355.1/GCF_002355355.1_ASM235535v1_genomic.gbff.gz
GCF_002356675.1	PRJNA224116	SAMD00034144			na		1280	1280	Staphylococcus aureus	strain=JH4899		latest	Complete Genome	Major	Full	2017/03/31	ASM235667v1	Department of Bacteriology, Hiroshima University Graduate School of Biomedical & Health Sciences	GCA_002356675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/675/GCF_002356675.1_ASM235667v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002356675.1/GCF_002356675.1_ASM235667v1_genomic.gbff.gz
